DATABASE	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)
cpd00137	-280.44	0.496391
cpd00138	-218.28	1.54422
cpd00139	-122.98	0.189488
cpd00141	-85.13	0.178636
cpd00142	-113.53	0.253596
cpd00143	-75.82	0.82945
cpd00144	-805.77	3.08989
cpd00145	-148.92	0.319053
cpd00146	-310.26	0.536457
cpd00147	1.27	3.12015
cpd00148	10000000	10000000
cpd00149	10000000	10000000
cpd00150	10000000	10000000
cpd00151	-61.48	1.49798
cpd00152	5.87	1.56866
cpd00153	-53.05	0.81975
cpd00154	-180.06	1.36935
cpd00155	-852.2	6.03434
cpd00156	-86.49	0.43806
cpd00157	-108.16	0.356005
cpd00158	-376.76	3.02215
cpd00159	-123.17	0.251966
cpd00160	15.57	6.9016
cpd00161	-124.34	0.414886
cpd00162	-44.51	0.291766
cpd00163	-724.33	2.96697
cpd00164	-261.5	1.49878
cpd00165	-38.8954	0.79702
cpd00166	10000000	10000000
cpd00167	10000000	10000000
cpd00168	-132.01	1.0939
cpd00169	-371.9	0.290854
cpd00170	-216.02	1.27577
cpd00171	-393.5	0.57012
cpd00172	-81.06	2.93498
cpd00173	10000000	10000000
cpd00174	10000000	10000000
cpd00175	-756.9	3.23624
cpd00176	-220.14	0.587848
cpd00177	-426.01	2.98376
cpd00178	-38.52	0.5
cpd00179	-376.76	3.02215
cpd00180	-161	0.5
cpd00181	10000000	10000000
cpd00182	-45.35	3.04224
cpd00183	-79.18	0.917557
cpd00184	-145.84	1.77237
cpd00185	-180.06	1.36935
cpd00186	-164.13	0.376755
cpd00187	-9.55	0.5
cpd00188	31.85	2.13147
cpd00189	10000000	10000000
cpd00190	-218.28	1.54422
cpd00191	-111.88	0.216624
cpd00192	-770.83	3.70053
cpd00193	-367.85	3.11094
cpd00194	106.88	2.88653
cpd00195	10000000	10000000
cpd00196	-301.65	0.262682
cpd00197	-132.01	1.0939
cpd00198	-393.5	0.57012
cpd00199	-110.26	0.264674
cpd00200	-109.64	0.396045
cpd00201	-144.77	3.20694
cpd00202	-439.18	0.556056
cpd00203	-586.8	0.359716
cpd00204	10000000	0.5
cpd00205	10000000	10000000
cpd00206	-305.54	1.83186
cpd00207	28.4	2.5143
cpd00208	-376.76	3.02215
cpd00209	-26.61	0.5
cpd00210	-126.763	0.782903
cpd00211	-83.51	0.2346
cpd00212	-217.61	1.3695
cpd00213	-21.54	1.63427
cpd00214	-64.07	1.23901
cpd00215	-59.5	1.671
cpd00216	-169.49	1.40729
cpd00217	-376.76	3.02215
cpd00218	-36.89	1.42009
cpd00219	-186.17	1.31734
cpd00220	-110.72	2.88394
cpd00221	-123.17	0.251966
cpd00222	-268.66	0.889648
cpd00223	-159.4	0.327021
cpd00224	-180.06	1.36935
cpd00225	-0.35	0.828592
cpd00226	23.12	2.51767
cpd00227	-122.53	0.347645
cpd00228	-71.088	1.34386
cpd00229	-70.28	0.224679
cpd00231	-35.76	2.71007
cpd00232	-326.4	1.55309
cpd00233	-44.57	2.61365
cpd00234	-209.4	0.712802
cpd00235	-430.78	1.50566
cpd00236	-355.62	0.46586
cpd00237	-18.43	6.8859
cpd00238	-466.34	0.92734
cpd00239	-6.66	0.5
cpd00240	-282.78	1.77289
cpd00241	-684.46	2.69374
cpd00242	-140.26	0.5
cpd00243	-71.06	1.32516
cpd00244	10000000	10000000
cpd00245	33.64	0.843582
cpd00246	-101.08	2.75335
cpd00247	-142.48	1.55473
cpd00248	-221.05	1.05199
cpd00249	-185.27	1.8976
cpd00250	-65.59	1.83445
cpd00251	-585.97	3.79729
cpd00253	-121.69	0.606668
cpd00254	10000000	10000000
cpd00255	-194.43	6.60105
cpd00256	-479.69	2.78278
cpd00257	-98.59	1.60324
cpd00258	-180.95	1.22448
cpd00259	-180.95	1.22448
cpd00260	-279.02	0.477608
cpd00261	-180.95	1.22448
cpd00262	-862.82	3.53248
cpd00263	-67.43	1.67638
cpd00264	4.79	1.15819
cpd00265	-852.2	7.54615
cpd00266	-65.83	1.97845
cpd00267	-36.08	1.32079
cpd00268	-122.7	0.5
cpd00269	-187.28	0.429596
cpd00270	-810.31	3.76215
cpd00271	10000000	10000000
cpd00272	-636.85	3.67561
cpd00273	-584.45	5.28644
cpd00274	-123.87	1.01741
cpd00275	-76.94	0.997956
cpd00276	-183.03	1.51001
cpd00277	-55.96	2.68683
cpd00278	-49.77	1.58025
cpd00279	-812.61	3.58037
cpd00280	-261.5	1.49878
cpd00281	-84.49	0.346578
cpd00282	-151.52	1.44137
cpd00283	-411.09	1.03522
cpd00284	-481.16	0.820896
cpd00285	-257.01	0.307461
cpd00286	49.72	5.56826
cpd00287	-112.07	0.27296
cpd00288	-395.53	1.48131
cpd00289	-354.91	2.03365
cpd00290	-644.17	1.29798
cpd00291	-130.01	1.09934
cpd00292	-900.07	3.61469
cpd00293	-425.13	1.60826
cpd00294	-218.01	2.98126
cpd00295	-476.46	2.68544
cpd00296	-268.46	2.68267
cpd00297	-566.34	1.77026
cpd00298	-358.34	1.76605
cpd00299	-357.93	1.79821
cpd00300	-90.93	3.2352
cpd00301	10.74	5.29242
cpd00302	73.9	2.80623
cpd00303	-161.08	3.84782
cpd00304	78.83	2.67757
cpd00305	52.18	2.5652
cpd00306	-189.02	0.79901
cpd00307	-8.68	1.38371
cpd00308	-164.58	0.238732
cpd00309	-27.73	2.67091
cpd00310	-74.59	1.32734
cpd00311	-95.8	2.75027
cpd00312	34.01	1.12642
cpd00313	-177.08	2.71708
cpd00314	-225.44	0.98839
cpd00315	-673.08	3.70081
cpd00316	40.23	1.6725
cpd00317	-280.99	3.83367
cpd00318	54.64	1.57496
cpd00319	-23.31	1.05603
cpd00320	-165.75	0.3447
cpd00321	-795.66	3.77736
cpd00322	-84.87	0.446773
cpd00323	-59.36	1.1481
cpd00324	-4.394	0.645273
cpd00325	-15.54	6.87738
cpd00326	-820.49	3.92887
cpd00327	-759.91	3.99319
cpd00328	-354.02	4.90989
cpd00329	-14.2	1.26905
cpd00330	-109.12	3.01016
cpd00331	-222.28	0.750199
cpd00332	-157.77	0.495873
cpd00333	-32.27	1.0401
cpd00334	-70.47	0.279396
cpd00335	-197.74	1.1116
cpd00336	10000000	10000000
cpd00337	-70.08	1.48378
cpd00338	-112.89	0.390534
cpd00339	-82.87	0.417227
cpd00340	-136.2	0.368702
cpd00341	-44.23	1.02633
cpd00342	-115.26	0.757717
cpd00343	-203.96	0.985903
cpd00344	-157.18	1.48196
cpd00345	-101.7	2.85054
cpd00346	-113.05	0.329774
cpd00347	-97	3.11793
cpd00348	-430.78	1.50566
cpd00349	-678.84	0.89046
cpd00350	-383	1.53205
cpd00351	-229.72	1.15346
cpd00352	-56.09	1.01049
cpd00353	-279.02	0.477608
cpd00354	10000000	10000000
cpd00355	-337.74	2.01206
cpd00356	-721.54	1.84804
cpd00357	-774.34	1.78283
cpd00358	-773.93	1.81469
cpd00359	54.41	1.59304
cpd00360	73.57	2.76325
cpd00361	-72.12	0.345267
cpd00362	-16.98	4.32493
cpd00363	-43.44	0.5
cpd00364	-32.56	1.62365
cpd00365	70.9	2.66618
cpd00366	-189.02	0.79901
cpd00367	-132.88	1.92951
cpd00424	-154.91	0.955805
cpd00368	-180.06	1.36935
cpd00369	-184.59	9.46581
cpd00370	-157.6	1.57269
cpd00371	-32.43	0.215606
cpd00372	33.78	1.22383
cpd00373	-121.41	1.69031
cpd00374	-10.89	0.894219
cpd00375	10000000	10000000
cpd00376	-3.16	7.1632
cpd00378	-28.36	0.369401
cpd00379	-161.34	0.344476
cpd00380	-143.56	0.605948
cpd00382	-536.13	4.25369
cpd00383	-171.29	0.954259
cpd00384	-183.56	3.33931
cpd00385	-191.68	2.78169
cpd00386	-201	0.310287
cpd00387	-622.63	3.92265
cpd00388	-166.94	1.89793
cpd00389	12.96	8.60192
cpd00390	-710.16	3.13926
cpd00391	-232.24	0.696223
cpd00392	-152.6	0.615213
cpd00393	-109.27	3.18647
cpd00394	-187.34	3.82888
cpd00395	-206.402	0.790911
cpd00396	-182.05	1.49863
cpd00397	-180.95	1.22448
cpd00398	-113.81	2.2303
cpd00399	-737.55	3.9411
cpd00400	-64.98	0.475215
cpd00401	-752.13	3.61833
cpd00402	-608.06	2.03125
cpd00403	-268.66	0.889648
cpd00404	-85.66	0.508698
cpd00405	-11.37	1.24487
cpd00406	10000000	10000000
cpd00407	53.49	1.36417
cpd00408	-159.58	0.493225
cpd00409	-42.82	7.18123
cpd00410	10000000	10000000
cpd00411	-25	1.57896
cpd00412	-145.43	1.80441
cpd00413	-860.42	3.57657
cpd00414	-542.03	4.85968
cpd00415	-49.38	0.882045
cpd00416	-842.64	3.58543
cpd00417	-189.02	0.79901
cpd00418	10000000	0.71845
cpd00419	-32.18	1.66412
cpd00420	-24.99	6.87186
cpd00421	10000000	10000000
cpd00422	-731.35	3.67452
cpd00423	10000000	10000000
cpd00425	-1.35	0.926026
cpd00426	-128.84	1.07086
cpd00427	-232.24	0.696223
cpd00428	-59.99	0.323521
cpd00429	-88.41	1.12943
cpd00430	-47.35	0.889963
cpd00431	10000000	10000000
cpd00432	-239.04	0.454339
cpd00433	-23.31	1.05603
cpd00434	-31.79	0.367003
cpd00435	-8.28	0.790983
cpd00436	-17.38	1.03025
cpd00437	-262.39	1.29767
cpd00438	-5.51	2.98501
cpd00439	4.68	4.98592
cpd00440	-384.52	2.47471
cpd00441	4.55	1.21484
cpd00442	-979.52	3.61158
cpd00443	-48.99	0.945506
cpd00444	-536.39	1.98758
cpd00445	14.49	1.26897
cpd00446	-191.87	3.79548
cpd00447	21.67	1.96632
cpd00448	-106.7	0.348594
cpd00449	-27.348	1.47715
cpd00450	1.47	0.771443
cpd00451	-75.84	1.52281
cpd00452	-748.96	3.62421
cpd00453	-79.95	0.326348
cpd00454	-112.91	1.45179
cpd00455	-178.44	1.37216
cpd00456	-92.53	0.894593
cpd00457	-200.31	1.97179
cpd00458	-51.81	1.31247
cpd00459	10000000	10000000
cpd00460	-152.532	0.760454
cpd00461	-82.8	0.864982
cpd00463	20.58	6.90065
cpd00464	2.82	0.797918
cpd00465	-163.98	0.971189
cpd00466	92.14	3.29163
cpd00467	10000000	10000000
cpd00468	10000000	10000000
cpd00469	-371.11	3.05383
cpd00470	-24.81	1.28715
cpd00471	-300.28	2.64525
cpd00472	-805.77	3.08989
cpd00473	-260.64	0.719115
cpd00474	14.85	6.94241
cpd00475	-394.12	1.31756
cpd00477	-193.73	0.730848
cpd00478	-279.93	1.66017
cpd00479	-132.01	1.0939
cpd00480	-258.18	0.742035
cpd00481	-784.4	3.55604
cpd00482	-371.9	0.290854
cpd00483	-88.47	1.12185
cpd00484	-39.83	0.902703
cpd00485	-430.78	1.50566
cpd00486	28.87	1.56393
cpd00487	10000000	10000000
cpd00488	-119.47	1.55833
cpd00489	-89.36	0.86626
cpd00490	-64.48	1.57029
cpd00491	-437.94	0.909703
cpd00492	-212.63	1.63473
cpd00493	-244.68	1.65739
cpd00494	-34.8	5.00194
cpd00495	-144.73	0.654979
cpd00496	-179.36	1.09081
cpd00497	-364.43	2.78495
cpd00498	-151.56	0.452365
cpd00499	-643.28	1.49389
cpd00501	-430.78	1.50566
cpd00502	-106.95	3.2377
cpd00503	-644.17	1.29798
cpd00504	-163.68	0.604949
cpd00506	-190.374	1.03631
cpd00507	-254.99	2.05765
cpd00508	-109.64	0.396045
cpd00509	-354.28	1.17941
cpd00510	-354.28	1.17941
cpd00511	-36.26	7.19468
cpd00512	10000000	10000000
cpd00513	10000000	10000000
cpd00514	10000000	10000000
cpd00515	-263.36	0.529171
cpd00516	-163.68	0.604949
cpd00517	10000000	10000000
cpd00518	-108.82	1.06928
cpd00519	-863.85	3.54606
cpd00520	-183.72	0.442672
cpd00521	-680.33	2.86294
cpd00522	-680.33	2.86294
cpd00523	-589.26	2.98672
cpd00524	-213.4	1.28396
cpd00525	-958.02	3.90679
cpd00526	-165.99	7.10531
cpd00527	-112.91	1.45179
cpd00528	4.4694	0.5
cpd00530	-780.43	2.79562
cpd00531	10000000	10000000
cpd00532	3.9197	0.5
cpd00533	-513.54	1.83592
cpd00534	10000000	10000000
cpd00536	-38.47	1.33018
cpd00537	-535.24	4.52507
cpd00538	33.38	2.76536
cpd00540	-31.03	1.96262
cpd00541	-63.98	1.55567
cpd00542	10000000	10000000
cpd00543	-51.01	1.06704
cpd00544	10000000	10000000
cpd00545	-115.19	1.24109
cpd00546	-130.78	6.83014
cpd00547	-83.394	0.697389
cpd00548	-218.28	1.54422
cpd00549	-84.04	0.559228
cpd00550	-124.15	0.312619
cpd00551	-61.64	0.458926
cpd00552	10000000	10000000
cpd00553	10000000	10000000
cpd00554	80.59	1.7132
cpd00555	-308.05	6.25943
cpd00556	44.52	1.60883
cpd00557	10000000	10000000
cpd00558	15.6	2.04072
cpd00559	161.68	3.15853
cpd00560	10000000	10000000
cpd00561	-64.66	1.15841
cpd00562	-33.81	0.636781
cpd00563	-7.68	4.62176
cpd00564	-84.62	3.03048
cpd00565	-210.29	2.13506
cpd00566	-124.22	6.83963
cpd00567	-62.54	0.943971
cpd00568	-217.61	1.3695
cpd00569	-909.73	14.0976
cpd00570	4.63	2.0662
cpd00571	-311.88	0.823313
cpd00572	-45.63	1.132
cpd00573	-268.66	0.889648
cpd00574	-139.28	1.07789
cpd00575	-298.19	3.94275
cpd00576	-121.43	2.15119
cpd00577	26.13	2.67485
cpd00578	-107.65	1.58832
cpd00579	15.16	1.56627
cpd00580	10000000	10000000
cpd00581	-26.85	1.29588
cpd00582	-99.16	2.25237
cpd00583	-79.86	1.43495
cpd00584	-680.9	2.15192
cpd00585	-6.19	2.79874
cpd00586	-73.77	1.56283
cpd00587	-83.394	0.697389
cpd00588	-225.44	0.98839
cpd00589	-217.61	1.3695
cpd00590	-105.4	4.02363
cpd00591	-8.28	0.240844
cpd00592	-784.18	3.50678
cpd00593	10.4	2.17411
cpd00594	-268.66	0.889648
cpd00595	10000000	10000000
cpd00596	-153.5	1.01716
cpd00597	-81.89	0.305911
cpd00598	19.2	5.27848
cpd00599	-92.53	0.894593
cpd00601	-36.69	6.17023
cpd00602	-36.69	6.17023
cpd00604	-71.75	1.10005
cpd00605	10000000	10000000
cpd00606	-93.39	2.35176
cpd00607	-202.61	0.416598
cpd00608	-268.66	0.889648
cpd00609	-311.88	0.823313
cpd00610	-121.69	0.606668
cpd00611	-124.34	0.414886
cpd00612	-111.23	1.32893
cpd00613	-20.85	1.3275
cpd00614	10000000	10000000
cpd00615	-320.83	4.0052
cpd00616	-161.4	1.3158
cpd00617	-822.25	3.55551
cpd00618	43.071	2.34009
cpd00619	-189.68	0.464371
cpd00620	-135.144	1.57968
cpd00621	-442.65	5.26975
cpd00622	-34.72	2.64525
cpd00623	-58.44	1.39353
cpd00624	-125.68	3.33606
cpd00625	-84.62	3.03048
cpd00626	-723.12	2.95151
cpd00627	-16.75	0.97535
cpd00628	-153.8	5.22031
cpd00629	-785.2	4.20733
cpd00630	-189.74	0.388669
cpd00631	-112.2	1.66664
cpd00632	10000000	10000000
cpd00633	-80.98	0.483029
cpd00634	-282.98	1.71996
cpd00635	10000000	10000000
cpd00636	-20.76	1.26006
cpd00637	-75.91	0.815146
cpd00638	-572.03	4.30267
cpd00639	-53.91	2.24933
cpd00640	10000000	10000000
cpd00641	-2.41	1.14372
cpd00642	-181.19	0.718809
cpd00643	-466.4	2.87692
cpd00644	-188.54	0.850688
cpd00645	-88.39	1.35077
cpd00646	10000000	10000000
cpd00647	-167.37	0.33333
cpd00648	-277.41	7.00097
cpd00649	-653.72	3.32613
cpd00650	-761.78	3.57546
cpd00651	-232.24	0.696223
cpd00652	-311.88	0.823313
cpd00653	-268.66	0.889648
cpd00654	-93.04	1.83795
cpd00655	-539.494	3.4599
cpd00656	-535.24	4.52507
cpd00657	-72.97	1.34751
cpd00658	-169.49	1.40729
cpd00659	18.2552	1.5241
cpd00660	-780.97	3.58314
cpd00661	3.18	7.25691
cpd00662	-6.3	7.25774
cpd00663	-764.06	3.55614
cpd00664	10000000	10000000
cpd00665	-376.76	3.02215
cpd00666	-239.04	0.454339
cpd00667	70.9	2.66618
cpd00668	-153.18	0.443762
cpd00669	-107.83	0.399338
cpd00670	20.43	1.04708
cpd00671	-901.69	3.59866
cpd00672	-262.39	1.29767
cpd00673	-72.07	1.44122
cpd00674	-195.7	3.51297
cpd00675	6.45	2.89857
cpd00676	10000000	10000000
cpd00677	89.73	2.75878
cpd00678	180.62	3.2747
cpd00679	-256.55	1.98321
cpd00680	10000000	10000000
cpd00681	-102.31	2.08563
cpd00682	-965.77	4.3296
cpd00683	-2.14	2.78346
cpd00684	-145.2	0.973731
cpd00685	10000000	10000000
cpd00686	10000000	10000000
cpd00687	-221	3.95594
cpd00688	-39.004	0.67172
cpd00689	-118.18	1.36903
cpd00690	-59.92	2.65107
cpd00691	-724.33	2.96697
cpd00693	-70.47	0.279396
cpd00694	-40.07	3.11761
cpd00695	-146.46	0.660992
cpd00696	-279.4	2.97884
cpd00697	-242.32	3.56573
cpd00698	-247.6	3.56811
cpd00699	-214.49	0.920613
cpd00700	-257.85	3.03334
cpd00701	-71.088	1.34386
cpd00702	-23.54	4.32598
cpd00703	-23.83	1.55926
cpd00704	19.39	1.56779
cpd00705	-162.51	0.424839
cpd00706	-108.164	0.700296
cpd00707	-88.08	1.46808
cpd00708	-114.99	4.958
cpd00709	-218.28	1.54422
cpd00710	10000000	10000000
cpd00711	9.97	0.981597
cpd00712	-149.1	0.487978
cpd00713	-152.03	3.79906
cpd00714	-68.66	0.271307
cpd00715	-47.04	2.23459
cpd00716	10000000	10000000
cpd00717	-153.65	2.27251
cpd00718	-220.9	0.981902
cpd00719	-716.3	3.67567
cpd00720	17.44	1.65646
cpd00721	-14.44	1.68683
cpd00722	-161.6	0.521363
cpd00723	103.63	3.16942
cpd00724	-218.28	1.54422
cpd00725	10000000	10000000
cpd00726	-7.64	0.472275
cpd00727	-335.48	0.212863
cpd00728	-119.74	0.312372
cpd00729	-40.43	0.651784
cpd00730	10000000	10000000
cpd00731	-118.69	0.781426
cpd00732	-260.04	1.39598
cpd00733	10000000	10000000
cpd00734	10000000	10000000
cpd00735	-494.35	3.31202
cpd00736	-430.78	1.50566
cpd00737	-31.21	1.46729
cpd00738	-336.65	0.327316
cpd00739	-133.83	2.48842
cpd00740	10.95	2.07592
cpd00741	-722.71	2.97087
cpd00742	-127.56	0.950749
cpd00743	-901.69	3.59866
cpd00744	-104.61	0.983277
cpd00745	-121.36	0.242966
cpd00746	-49.58	1.09436
cpd00747	-102.38	0.861325
cpd00748	10000000	10000000
cpd00749	-64.48	1.57029
cpd00750	-182.05	1.49863
cpd00751	-182.05	1.49863
cpd00752	-75.15	1.35082
cpd00753	10000000	10000000
cpd00754	-363.5	4.9337
cpd00755	-479.5	6.2222
cpd00756	-73.28	1.19852
cpd00757	-108.79	0.691801
cpd00758	-24.81	1.28715
cpd00759	-253.14	1.66276
cpd00760	-782.78	3.5701
cpd00761	16.4	6.93826
cpd00762	-72.6	1.54293
cpd00763	-197.26	0.821204
cpd00764	-80.99	0.681339
cpd00765	-215.78	1.15083
cpd00766	-186.21	1.51465
cpd00767	-195.35	0.714851
cpd00768	-115.69	1.39925
cpd00769	-193.7	0.702586
cpd00770	-192.08	0.718856
cpd00771	-155.58	0.961982
cpd00772	-115.26	0.757717
cpd00773	-820.27	3.25087
cpd00774	10000000	10000000
cpd00775	-150.1	0.463498
cpd00776	119.31	3.2166
cpd00777	42.33	1.65623
cpd00778	-32	1.34254
cpd00779	-53.29	2.8454
cpd00780	-197.26	0.821204
cpd00781	-260.64	0.719115
cpd00782	-857.18	3.61942
cpd00783	10000000	10000000
cpd00784	-47.48	1.14769
cpd00785	-332.78	1.65195
cpd00786	-401.52	0.721674
cpd00787	-144.49	3.70111
cpd00788	-115.71	0.688307
cpd00789	-290.033	1.74661
cpd00790	-159.98	0.54309
cpd00791	10000000	10000000
cpd00792	-661.18	3.42319
cpd00793	-160.32	2.56704
cpd00794	-376.76	3.02215
cpd00795	-199.38	0.345549
cpd00796	-202.8	0.474233
cpd00797	-121.55	0.266825
cpd00798	-49.38	7.18835
cpd00799	10000000	10000000
cpd00800	-108.22	0.557806
cpd00801	-374.5	2.48743
cpd00802	-431.67	1.3115
cpd00803	-602.12	1.3232
cpd00804	-437.94	0.909703
cpd00805	-431.67	1.3115
cpd00806	-393.69	1.46971
cpd00807	-214.91	1.14783
cpd00808	-393.5	0.57012
cpd00809	-335.03	0.360919
cpd00810	-479.18	1.89879
cpd00811	10000000	10000000
cpd00812	-370.27	0.472803
cpd00813	-88.86	1.09822
cpd00814	-102.29	0.809382
cpd00815	-110.43	0.431284
cpd00816	-137.77	1.792
cpd00817	-392.04	0.643001
cpd00818	-430.78	1.50566
cpd00819	-179.36	1.09081
cpd00820	-215.78	1.15083
cpd00821	10000000	10000000
cpd00822	-236.19	0.642288
cpd00823	-65.52	1.57731
cpd00824	-270.94	1.38549
cpd00825	-338.18	3.32317
cpd00826	9.97	0.981597
cpd00827	-127.84	6.82655
cpd00828	-95.59	1.01146
cpd00829	37.5	1.5241
cpd00830	-226.94	0.402699
cpd00831	-393.69	0.656381
cpd00832	-212.63	1.63473
cpd00833	-263.01	1.03885
cpd00834	-347.644	1.57259
cpd00835	-430.78	1.50566
cpd00836	-61.184	1.35494
cpd00837	13.01	3.68026
cpd00838	-566.52	4.89141
cpd00839	10000000	10000000
cpd00840	-84.04	0.559228
cpd00841	-578.27	0.488289
cpd00842	-820.63	3.56957
cpd00843	-149.92	0.280182
cpd00844	-54.04	1.06016
cpd00845	24.91	1.98194
cpd00846	10000000	10000000
cpd00847	-606.62	1.31622
cpd00848	-33.36	1.17939
cpd00849	-414.78	2.88926
cpd00850	-414.78	2.88926
cpd00851	-102.38	0.861325
cpd00852	-340.47	2.15627
cpd00853	-584.4	0.380214
cpd00854	-128.84	1.07086
cpd00855	-32.95	1.2951
cpd00856	-204.67	1.21949
cpd00857	30.13	6.8189
cpd00858	-111.43	0.363149
cpd00859	-410.45	1.97197
cpd00860	-137.394	1.43253
cpd00861	-756.9	3.23624
cpd00862	-430.78	1.50566
cpd00863	-430.78	1.50566
cpd00864	-79.049	2.22846
cpd00865	-290.39	2.32199
cpd00866	-54.71	6.88796
cpd00867	-432.46	1.44976
cpd00868	-115.3	0.90349
cpd00869	-100.68	0.817635
cpd00870	-27.79	1.97826
cpd00871	-606	0.567009
cpd00872	10000000	10000000
cpd00873	-380.18	1.94876
cpd00874	-85.85	0.549852
cpd00875	-292.98	0.938344
cpd00876	-121.55	0.266825
cpd00877	15.57	6.9016
cpd00878	10000000	10000000
cpd00879	-335.43	1.49034
cpd00880	-474	1.46986
cpd00881	-111.23	1.26745
cpd00882	-87.74	0.879507
cpd00883	10000000	10000000
cpd00884	-609.78	4.18301
cpd00885	-1494.96	1.60926
cpd00886	-86.3	0.306163
cpd00887	-165.26	1.11782
cpd00888	-248.46	0.937015
cpd00889	-122.08	0.587262
cpd00890	-851.04	3.52681
cpd00891	-863.85	3.54606
cpd00892	-184.71	1.45428
cpd00893	-173.48	0.871208
cpd00894	-220.14	0.587848
cpd00895	-544.24	3.41429
cpd00896	-470.68	0.681737
cpd00897	-667.37	2.99814
cpd00898	-644.96	1.42645
cpd00899	-576	4.91208
cpd00900	-630.29	3.58188
cpd00901	10000000	10000000
cpd00902	-487.14	1.64427
cpd00903	-51.62	1.2473
cpd00904	-23.44	6.86766
cpd00905	-936.8	2.75639
cpd00906	-298.73	3.04169
cpd00907	-643.28	1.49389
cpd00908	-311.69	0.663713
cpd00909	-61.42	1.70434
cpd00910	-378.44	2.81409
cpd00911	-428.52	1.24167
cpd00912	-169.09	1.63425
cpd00913	10000000	10000000
